value
245
345
295
290
288
267
501
279.76
312
530
516.6
359
301.7
347.35
383.65
448.3
337.15
363
383.35
485.25
343
442
462.8
522.65
432
432
360
401
503.4
646
517.2
352.06
574.5
235.1
166.5
781.1
402.4
